context,method,raw_method,num_tokens,mean_nll,perplexity,search_ms_per_token,decode_ms_per_token,topk_recall_vs_full,attention_mass_recall,prepack_ms,cache_update_ms_per_token
64k,full,full,128,2.737371389439403,15.446329301299565,5.042248164023476,659.0167485119309,,,0.0,29.05057158204727
64k,quest,quest_b4096,128,2.832834497071204,16.99356082106357,722.7747285348669,1111.4115322416183,,,0.0,28.99810459348373
64k,fier,fier_triton_g32_b4096,128,2.7416820686624988,15.513057190025684,177.1925086659612,846.4643844345119,0.6096490621566772,0.9752727069262619,0.0,29.00911431061104
64k,cuda_popc,bit2_qk_cuda_popc_g32_b4096,128,3.2269621635796284,25.202978036321134,8.72453351265358,740.1815363846254,0.28265637159347534,0.9239901880782782,452.6405818760395,29.189988534199074
64k,qk_2mean,bit2_qk_2mean_g32_b4096,128,2.759269950887983,15.78831249635622,10.590110726374405,752.361038030358,0.43346989154815674,0.9629341129038949,454.45379987359047,29.298956418642774
