model,tokens,perplexity,mean_nll,score_ms_per_token,topk_ms_per_token,search_ms_per_token,gather_ms_per_token,attention_ms_per_token,decode_ms_per_token,prepack_ms,update_ms_per_token
Pop-KV,4096,9.051515576808772,2.2029322107414866,3.4147925304023374,2.421623929254565,5.836416459656903,18.608475804227055,10.74256152722046,124.79445591907279,29.06883624382317,1.366941379274067
FIER,4096,8.930120238100518,2.189429859310698,9.056433893259964,2.668871638037672,11.725305531297636,18.51839922730869,10.744566707637205,129.5954073948451,62.40681454073638,1.0206958741036942
FullAttention,4096,8.884403798865744,2.1842973573704536,0.0,0.0,0.0,19.09738361806376,122.00358626403613,167.69179054426786,0.0,0.6086124058128917
Quest,4096,10.037772611389494,2.306355238195679,17.96205291719525,5.0677418864033825,23.029794803598634,18.413659356694552,13.825729039308499,131.89694826996856,27.042788919061422,1.126703891713987
