context,method,tokens,perplexity,mean_abs_nll_delta_vs_full,top1_agreement_vs_full,top5_overlap_vs_full,recall_1,recall_16,recall_64,recall_256,recall_1024,recall_2048,recall_4096,attention_mass_recall,mass_weighted_topk_recall,attention_output_cosine,attention_output_relative_l2,score_pearson,exact_top1_selected,exact_top1_approx_rank
32768,FullAttention,32,9.996030794500959,0.0,1,1.0,,,,,,,,,,,,,,
32768,Quest,32,11.901300904573972,0.321850305859698,0.84375,0.8875000000000001,0.5964285714285714,0.15022321428571428,0.22645089285714284,0.24306640625,0.3250802176339286,0.39173758370535716,0.4755397251674107,0.8834973585392748,0.9000896332519395,0.965694233668702,0.1910795752208547,0.6235096029937267,0.9892857142857143,277.73571428571427
32768,Fier,32,10.378603187950228,0.07021649751550285,0.96875,0.96875,0.02857142857142857,0.4381696428571429,0.4049665178571429,0.43868582589285715,0.5260044642857142,0.5820085797991071,0.6497453962053571,0.9581173590251377,0.9752664504306657,0.9952574070010867,0.07265264731623965,0.8586414871471268,1.0,10.028571428571428
32768,Pop-KV,32,10.163263274564855,0.14177475568430964,0.9375,0.93125,0.02857142857142857,0.24174107142857143,0.21294642857142856,0.2466796875,0.3346540178571429,0.3993600027901786,0.4836696079799107,0.9272047638893127,0.9432247913309506,0.9819068393536976,0.14133302554920582,0.675922313119684,0.9892857142857143,235.6107142857143
65536,FullAttention,32,14.47512857229419,0.0,1,1.0,,,,,,,,,,,,,,
65536,Quest,32,16.606463668398124,0.35118451945260176,0.78125,0.81875,0.4785714285714286,0.11919642857142858,0.23041294642857144,0.26941964285714287,0.3630336216517857,0.4376953125,0.517449951171875,0.9175651795896036,0.9314410171737628,0.9759036723524332,0.1675485710875364,0.7380833388971431,0.9892857142857143,1357.8285714285714
65536,Fier,32,14.669197862262394,0.07318809642436008,0.96875,0.96875,0.05357142857142857,0.4602678571428571,0.42338169642857143,0.46004464285714286,0.5314906529017858,0.5746843610491071,0.6217520577566964,0.960862280854157,0.9746736056038312,0.9951238340565136,0.07411546365848543,0.8792762498770441,1.0,11.557142857142857
65536,Pop-KV,32,14.941643465941702,0.18074409571966044,0.84375,0.8875000000000001,0.05714285714285714,0.25379464285714287,0.2318080357142857,0.2489955357142857,0.3119419642857143,0.3599644252232143,0.421893310546875,0.9131046527730567,0.9250472193317754,0.9847440242767334,0.1588019120041281,0.7031864951763834,0.9714285714285714,438.50357142857143
