block_idx,step,context_tokens,method,nll,candidate_ratio,prefix_ms_shared,prepack_ms,decode_ms,candidate_search_ms,cache_update_ms,selected_attention_ms,candidate_search_ops_proxy,topk_recall,budget,group_size,context_length,planned_num_blocks,model_id
0,0,4096,full_attention,0.000301673193462193,1.0,1034.4916023314,0.0,302.4599775671959,28.89270409429446,2.3084133863449097,139.24416033178568,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,1,4097,full_attention,7.998623186722398e-05,1.0,1034.4916023314,0.0,287.95671835541725,27.67951992340386,8.414171636104584,133.11484829708934,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,2,4098,full_attention,0.00019500737835187465,1.0,1034.4916023314,0.0,291.2398800253868,27.97212801594287,2.047412097454071,134.71388737857342,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,3,4099,full_attention,1.0847986231965479e-05,1.0,1034.4916023314,0.0,289.14330527186394,27.49843197502196,2.039846032857895,133.41484769061208,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,4,4100,full_attention,0.00013433984713628888,1.0,1034.4916023314,0.0,297.768235206604,28.182976119685918,2.243097871541977,139.28162936493754,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,5,4101,full_attention,0.0001212284987559542,1.0,1034.4916023314,0.0,317.3179365694523,29.948288115672767,2.0707622170448303,150.38454396277666,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,6,4102,full_attention,0.00023016665363684297,1.0,1034.4916023314,0.0,297.5089140236378,28.647744067013264,2.073969691991806,138.04656015336514,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,7,4103,full_attention,0.010379500687122345,1.0,1034.4916023314,0.0,297.96548560261726,28.01808011997491,2.074889838695526,139.4292773641646,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,0,4096,quest_p16_b4096,0.000301673193462193,1.0,1034.4916023314,0.0,807.6905496418476,525.873887478374,2.0620301365852356,145.2835829630494,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,1,4097,quest_p16_b4096,8.11782301752828e-05,0.9999471157757709,1034.4916023314,0.0,936.2029992043972,648.8156156307086,8.761588484048843,147.92044787481427,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,2,4098,quest_p16_b4096,0.00015889335190877318,0.9978686249389946,1034.4916023314,0.0,883.8457502424717,592.1428801463917,2.0592771470546722,151.14159988611937,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,3,4099,quest_p16_b4096,4.291525328881107e-06,0.9969540335041067,1034.4916023314,0.0,846.5441018342972,564.3327665147372,2.055719494819641,145.554750777781,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,4,4100,quest_p16_b4096,0.00014530557382386178,0.9963584857723577,1034.4916023314,0.0,860.1965643465519,566.3959363554604,2.0692050457000732,152.1894715577364,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,5,4101,quest_p16_b4096,0.00011991735664196312,0.9962600585223116,1034.4916023314,0.0,828.6123536527157,546.3394248289987,2.1846704185009003,145.94259117171168,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,6,4102,quest_p16_b4096,0.00023100091493688524,0.9962139911425321,1034.4916023314,0.0,843.1217968463898,553.5137277627364,2.07340344786644,150.47833511978388,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,7,4103,quest_p16_b4096,0.011172355152666569,0.9961867332845885,1034.4916023314,0.0,852.0316146314144,562.1354246856645,2.050071954727173,149.72422399371862,0.0,,4096,0,4096,3,meta-llama/Llama-3.1-8B
0,0,4096,fier_reference_g32_b4096,0.000301673193462193,1.0,1034.4916023314,51.006872206926346,937.7880841493607,623.8091849838383,30.702564865350723,158.80697631835938,1053818880.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,1,4097,fier_reference_g32_b4096,8.022463589441031e-05,0.9997559189650964,1034.4916023314,51.006872206926346,880.2792653441429,593.8648314764723,12.766283005475998,144.15071860700846,1054076160.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,2,4098,fier_reference_g32_b4096,0.00019500737835187465,0.9995119570522206,1034.4916023314,51.006872206926346,941.3645379245281,636.2602239316329,5.793586373329163,153.79558420926332,1054333440.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,3,4099,fier_reference_g32_b4096,1.07287787614041e-05,0.9992681141741888,1034.4916023314,51.006872206926346,903.0188955366611,608.5089916945435,4.958059638738632,147.9749757423997,1054590720.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,4,4100,fier_reference_g32_b4096,0.00013541258522309363,0.9990243902439024,1034.4916023314,51.006872206926346,904.5282378792763,610.6225283266976,6.487548351287842,148.08383962512016,1054848000.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,5,4101,fier_reference_g32_b4096,0.00011944057769142091,0.9987807851743478,1034.4916023314,51.006872206926346,900.5262404680252,605.1956794881262,4.477452486753464,148.80265583842993,1055105280.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,6,4102,fier_reference_g32_b4096,0.0002337421028641984,0.9985372988785958,1034.4916023314,51.006872206926346,904.396191239357,610.4085435802117,4.898078739643097,148.4756480678916,1055362560.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,7,4103,fier_reference_g32_b4096,0.010467627085745335,0.9982939312698026,1034.4916023314,51.006872206926346,935.5645664036274,630.1352317971177,4.967723041772842,154.32921624928713,1055619840.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,0,4096,fier_triton_g32_b4096,0.000301673193462193,1.0,1034.4916023314,0.0,617.328867316246,11.451424018479884,2.10411474108696,162.3624968007207,3067084800.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,1,4097,fier_triton_g32_b4096,8.022463589441031e-05,0.9997559189650964,1034.4916023314,0.0,739.8517392575741,19.86364805418998,8.2993283867836,158.95145611464977,3067833600.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,2,4098,fier_triton_g32_b4096,0.00019429226813372225,0.9995119570522206,1034.4916023314,0.0,592.0912362635136,11.879487990401685,2.0500607788562775,156.81596787273884,3068582400.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,3,4099,fier_triton_g32_b4096,1.07287787614041e-05,0.9992681141741888,1034.4916023314,0.0,562.9804879426956,10.565280034206808,2.0508766174316406,144.26502258330584,3069331200.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,4,4100,fier_triton_g32_b4096,0.00013350549852475524,0.9990243902439024,1034.4916023314,0.0,541.4472557604313,10.355583901517093,2.038370817899704,139.5426859036088,3070080000.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,5,4101,fier_triton_g32_b4096,0.00011944057769142091,0.9987807851743478,1034.4916023314,0.0,551.6038984060287,10.595231900922954,2.056661993265152,142.4475503563881,3070828800.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,6,4102,fier_triton_g32_b4096,0.00023195437097456306,0.9985372988785958,1034.4916023314,0.0,570.1648816466331,10.988095973618329,2.044130116701126,146.26514992117882,3071577600.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,7,4103,fier_triton_g32_b4096,0.010467508807778358,0.9982939312698026,1034.4916023314,0.0,551.030807197094,10.405759966932237,2.049531787633896,141.71958217024803,3072326400.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,0,4096,bit2_reference_g32_b4096,0.000301673193462193,1.0,1034.4916023314,79.57085222005844,2126.9318982958794,1819.0967343826778,86.71896532177925,154.6592326052487,838287360.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,1,4097,bit2_reference_g32_b4096,7.998623186722398e-05,0.9997559189650964,1034.4916023314,79.57085222005844,2145.0670436024666,1839.3599377819337,11.205494403839111,153.65910455584526,838491840.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,2,4098,bit2_reference_g32_b4096,0.00019476900342851877,0.9995119570522206,1034.4916023314,79.57085222005844,2088.6103585362434,1790.846334588714,4.935558885335922,150.8980482853949,838696320.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,3,4099,bit2_reference_g32_b4096,1.07287787614041e-05,0.9992681141741888,1034.4916023314,79.57085222005844,2107.6069474220276,1806.0929889981635,5.049452185630798,151.79052858799696,838900800.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,4,4100,bit2_reference_g32_b4096,0.00013445904187392443,0.9990243902439024,1034.4916023314,79.57085222005844,2116.0810627043247,1810.257087052334,4.586771130561829,155.36937632411718,839105280.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
0,5,4101,bit2_reference_g32_b4096,0.00011944057769142091,0.9987807851743478,1034.4916023314,79.57085222005844,2176.6933500766754,1868.1664019790478,5.044858902692795,156.15292903780937,839309760.0,,4096,32,4096,3,meta-llama/Llama-3.1-8B
