method,num_samples,mean_nll,perplexity,mean_candidate_ratio,mean_decode_ms,total_decode_ms,mean_candidate_search_ms,total_candidate_search_ms,mean_candidate_search_ops_proxy,total_candidate_search_ops_proxy,mean_selected_attention_ms,total_selected_attention_ms,mean_topk_recall
bit2_qk_g32_b1024,4,2.3297988282574806,10.275874109596295,0.5208333333333333,1543.6754282563925,6174.70171302557,1246.0941835902631,4984.3767343610525,2406727680.0,9626910720.0,161.97357602789998,647.8943041115999,
bit2_qk_g32_b2048,4,2.029103809647495,7.607265744782829,0.7916666666666666,1543.5404172167182,6174.161668866873,1251.7017592829652,5006.807037131861,2408939520.0,9635758080.0,161.03200010955334,644.1280004382133,
bit2_qk_g64_b1024,4,2.325564322702121,10.23245286223194,0.5208333333333333,1542.833930812776,6171.335723251104,1249.699456664268,4998.797826657072,2406727680.0,9626910720.0,161.20495210587978,644.8198084235191,
bit2_qk_g64_b2048,4,2.1468666732835118,8.558001328962396,0.7916666666666666,1544.0782741643488,6176.313096657395,1255.1857519806363,5020.743007922545,2408939520.0,9635758080.0,160.24855997040868,640.9942398816347,
fier_g32_b1024,4,2.019071561167948,7.531329308072628,0.5208333333333333,716.286993585527,2865.147974342108,416.4256470743567,1665.7025882974267,1912012800.0,7648051200.0,164.49856797233224,657.994271889329,
fier_g32_b2048,4,2.003552669339115,7.415353657584022,0.7916666666666666,688.5136826895177,2754.054730758071,398.526079909876,1594.104319639504,1914224640.0,7656898560.0,158.24331191927195,632.9732476770878,
fier_g64_b1024,4,2.0123043671774212,7.480535401589451,0.5208333333333333,691.5915873833001,2766.3663495332003,398.60296812746674,1594.411872509867,1912012800.0,7648051200.0,158.85259203612804,635.4103681445122,
fier_g64_b2048,4,2.0407294571923558,7.69622121568688,0.7916666666666666,687.3320937156677,2749.328374862671,399.3820160268806,1597.5280641075224,1914224640.0,7656898560.0,157.47067204117775,629.882688164711,
