method,num_samples,mean_nll,perplexity,mean_candidate_ratio,mean_decode_ms,total_decode_ms,mean_candidate_search_ms,total_candidate_search_ms,mean_candidate_search_ops_proxy,total_candidate_search_ops_proxy,mean_selected_attention_ms,total_selected_attention_ms,mean_topk_recall
bit2_qk_g32_b1024,4,0.4821786805987358,1.619599150395098,0.06510416666666666,1642.0470112934709,6568.188045173883,1337.0789436836494,5348.315774734598,19248660480.0,76994641920.0,163.76143204420805,655.0457281768322,
bit2_qk_g32_b2048,4,0.5221302285790443,1.685614572195007,0.13020833333333331,1629.0186080150306,6516.0744320601225,1325.111264435458,5300.445057741832,19268321280.0,77073285120.0,163.98947989940643,655.9579195976257,
bit2_qk_g64_b1024,4,0.5350895375013351,1.707601129747962,0.06510416666666666,1627.1597892045975,6508.63915681839,1323.0259112748317,5292.103645099327,19248660480.0,76994641920.0,164.06739201396704,656.2695680558681,
bit2_qk_g64_b2048,4,0.5126294270157814,1.669675718469147,0.13020833333333331,1627.754129935056,6511.016519740224,1323.9271371171344,5295.708548468538,19268321280.0,77073285120.0,163.34318408742547,653.3727363497019,
fier_g32_b1024,4,0.529295451939106,1.697735750720693,0.06510416666666666,845.350100658834,3381.400402635336,530.6616068582516,2122.6464274330065,15296102400.0,61184409600.0,171.65635205432773,686.6254082173109,
fier_g32_b2048,4,0.5313414260745049,1.7012128299495701,0.13020833333333331,756.9903586991131,3027.9614347964525,458.828831876046,1835.315327504184,15315763200.0,61263052800.0,161.18551197648048,644.7420479059219,
fier_g64_b1024,4,0.5273053050041199,1.6943603669888432,0.06510416666666666,756.4852838404477,3025.9411353617907,456.38413596409373,1825.536543856375,15296102400.0,61184409600.0,160.96394411101937,643.8557764440775,
fier_g64_b2048,4,0.5286194905638695,1.6965885347083869,0.13020833333333331,756.1064236797392,3024.425694718957,460.1095678638667,1840.4382714554667,15315763200.0,61263052800.0,160.73759991303086,642.9503996521235,
