block_idx,query_position,context_tokens,target_token_id,method,nll,candidate_ratio,sparse_head_calls,prefix_ms_shared,decode_ms,candidate_search_ms,candidate_search_ops_proxy,selected_attention_ms,single_token_decode_ms,single_token_search_ms,single_token_attention_ms,topk_recall,budget,group_size
0,8191,8192,520,fier_g32_b1024,0.27454861998558044,0.125,960,1014.0163600444794,850.6659846752882,507.92291461490095,6118440960.0,193.32175999879837,850.6659846752882,507.92291461490095,193.32175999879837,,1024,32
0,8191,8192,520,fier_g32_b2048,0.27407601475715637,0.25,960,1014.0163600444794,731.8908330053091,433.41513581201434,6126305280.0,160.30908799171448,731.8908330053091,433.41513581201434,160.30908799171448,,2048,32
0,8191,8192,520,fier_g64_b1024,0.30592456459999084,0.125,960,1014.0163600444794,722.1276424825191,426.97625561244786,6118440960.0,158.5572160333395,722.1276424825191,426.97625561244786,158.5572160333395,,1024,64
0,8191,8192,520,fier_g64_b2048,0.2736993730068207,0.25,960,1014.0163600444794,726.4079824090004,437.37792007625103,6126305280.0,158.69420784711838,726.4079824090004,437.37792007625103,158.69420784711838,,2048,64
0,8191,8192,520,bit2_qk_g32_b1024,0.25494128465652466,0.125,960,1014.0163600444794,1609.7488906234503,1310.5043838638812,7699906560.0,162.23411193490028,1609.7488906234503,1310.5043838638812,162.23411193490028,,1024,32
0,8191,8192,520,bit2_qk_g32_b2048,0.2707235515117645,0.25,960,1014.0163600444794,1582.8436203300953,1284.9909437876195,7707770880.0,162.00009587407112,1582.8436203300953,1284.9909437876195,162.00009587407112,,2048,32
0,8191,8192,520,bit2_qk_g64_b1024,0.32531970739364624,0.125,960,1014.0163600444794,1583.8754083961248,1286.4588474445045,7699906560.0,162.25456015765667,1583.8754083961248,1286.4588474445045,162.25456015765667,,1024,64
0,8191,8192,520,bit2_qk_g64_b2048,0.2931267023086548,0.25,960,1014.0163600444794,1578.0443474650383,1282.8859861642122,7707770880.0,161.30249589681625,1578.0443474650383,1282.8859861642122,161.30249589681625,,2048,64
0,16383,16384,279,fier_g32_b1024,0.7877835035324097,0.0625,960,1483.9214943349361,780.2379429340363,484.8013755083084,12236881920.0,162.53395189344883,780.2379429340363,484.8013755083084,162.53395189344883,,1024,32
0,16383,16384,279,fier_g32_b2048,0.8061150908470154,0.125,960,1483.9214943349361,770.9350604563951,481.23555177636445,12252610560.0,158.95081613957882,770.9350604563951,481.23555177636445,158.95081613957882,,2048,32
0,16383,16384,279,fier_g64_b1024,0.7408760190010071,0.0625,960,1483.9214943349361,771.8387395143509,475.1332476641983,12236881920.0,159.71436800062656,771.8387395143509,475.1332476641983,159.71436800062656,,1024,64
0,16383,16384,279,fier_g64_b2048,0.7399359941482544,0.125,960,1483.9214943349361,769.8592767119408,480.0125761963427,12252610560.0,158.80534371733665,769.8592767119408,480.0125761963427,158.80534371733665,,2048,64
0,16383,16384,279,bit2_qk_g32_b1024,0.6730740070343018,0.0625,960,1483.9214943349361,1636.0573172569275,1339.627167519182,15399075840.0,161.02118404209614,1636.0573172569275,1339.627167519182,161.02118404209614,,1024,32
0,16383,16384,279,bit2_qk_g32_b2048,0.7355157732963562,0.125,960,1483.9214943349361,1632.3668397963047,1337.2185269147158,15414804480.0,161.38579213619232,1632.3668397963047,1337.2185269147158,161.38579213619232,,2048,32
0,16383,16384,279,bit2_qk_g64_b1024,0.7792741656303406,0.0625,960,1483.9214943349361,1637.0961125940084,1338.4130873102695,15399075840.0,161.41065600514412,1637.0961125940084,1338.4130873102695,161.41065600514412,,1024,64
0,16383,16384,279,bit2_qk_g64_b2048,0.7516241669654846,0.125,960,1483.9214943349361,1639.1787435859442,1340.2015695404261,15414804480.0,161.8174720853567,1639.1787435859442,1340.2015695404261,161.8174720853567,,2048,64
0,24575,24576,311,fier_g32_b1024,0.7219218611717224,0.041666666666666664,960,2493.012797087431,765.335338190198,466.6452802680433,18355322880.0,162.80092810094357,765.335338190198,466.6452802680433,162.80092810094357,,1024,32
0,24575,24576,311,fier_g32_b2048,0.7363013625144958,0.08333333333333333,960,2493.012797087431,761.7879752069712,466.1840960085392,18378915840.0,160.89641585946083,761.7879752069712,466.1840960085392,160.89641585946083,,2048,32
0,24575,24576,311,fier_g64_b1024,0.7170612812042236,0.041666666666666664,960,2493.012797087431,761.7763709276915,463.9564162325114,18355322880.0,161.14956818521023,761.7763709276915,463.9564162325114,161.14956818521023,,1024,64
0,24575,24576,311,fier_g64_b2048,0.756010115146637,0.08333333333333333,960,2493.012797087431,758.5980463773012,463.9703674130142,18378915840.0,160.96041595935822,758.5980463773012,463.9703674130142,160.96041595935822,,2048,64
0,24575,24576,311,bit2_qk_g32_b1024,0.6546552777290344,0.041666666666666664,960,2493.012797087431,1643.1766543537378,1339.5396481845528,23098245120.0,163.86854408681393,1643.1766543537378,1339.5396481845528,163.86854408681393,,1024,32
0,24575,24576,311,bit2_qk_g32_b2048,0.7292197942733765,0.08333333333333333,960,2493.012797087431,1641.2404086440802,1338.8802584446967,23121838080.0,164.45990374684334,1641.2404086440802,1338.8802584446967,164.45990374684334,,2048,32
0,24575,24576,311,bit2_qk_g64_b1024,0.6849967241287231,0.041666666666666664,960,2493.012797087431,1644.9876837432384,1338.2665264829993,23098245120.0,166.46028773486614,1644.9876837432384,1338.2665264829993,166.46028773486614,,1024,64
0,24575,24576,311,bit2_qk_g64_b2048,0.6755658388137817,0.08333333333333333,960,2493.012797087431,1650.8466806262732,1341.4585601910949,23121838080.0,164.22806423902512,1650.8466806262732,1341.4585601910949,164.22806423902512,,2048,64
0,32767,32768,279,fier_g32_b1024,0.3329278230667114,0.03125,960,3655.3086936473846,985.1611368358135,663.2768570417538,24473763840.0,167.96876822412014,985.1611368358135,663.2768570417538,167.96876822412014,,1024,32
0,32767,32768,279,fier_g32_b2048,0.3088732361793518,0.0625,960,3655.3086936473846,763.3475661277771,454.4805439072661,24505221120.0,164.5857279151678,763.3475661277771,454.4805439072661,164.5857279151678,,2048,32
0,32767,32768,279,fier_g64_b1024,0.34535935521125793,0.03125,960,3655.3086936473846,770.1983824372292,459.4706243472174,24473763840.0,164.4346242249012,770.1983824372292,459.4706243472174,164.4346242249012,,1024,64
0,32767,32768,279,fier_g64_b2048,0.34483247995376587,0.0625,960,3655.3086936473846,769.5603892207146,459.07740776985884,24505221120.0,164.4904321283102,769.5603892207146,459.07740776985884,164.4904321283102,,2048,64
0,32767,32768,279,bit2_qk_g32_b1024,0.3460441529750824,0.03125,960,3655.3086936473846,1679.2051829397678,1358.6445751669817,30797414400.0,167.92188811302185,1679.2051829397678,1358.6445751669817,167.92188811302185,,1024,32
0,32767,32768,279,bit2_qk_g32_b2048,0.3530617952346802,0.0625,960,3655.3086936473846,1659.6235632896423,1339.3553285948,30828871680.0,168.11212784051895,1659.6235632896423,1339.3553285948,168.11212784051895,,2048,32
0,32767,32768,279,bit2_qk_g64_b1024,0.3507675528526306,0.03125,960,3655.3086936473846,1642.6799520850182,1328.9651838615537,30797414400.0,166.14406415820122,1642.6799520850182,1328.9651838615537,166.14406415820122,,1024,64
0,32767,32768,279,bit2_qk_g64_b2048,0.33020099997520447,0.0625,960,3655.3086936473846,1642.9467480629683,1331.1624325728044,30828871680.0,166.0247041285038,1642.9467480629683,1331.1624325728044,166.0247041285038,,2048,64
