block_idx,step,context_tokens,method,nll,candidate_ratio,prefix_ms_shared,prepack_ms,decode_ms,candidate_search_ms,cache_update_ms,selected_attention_ms,candidate_search_ops_proxy,topk_recall,attention_mass_recall,score_mae,score_normalized_mae,spearman_correlation,metadata_bytes_per_token,packed_k_bytes_per_token,budget,group_size
0,0,32768,full,6.70869255065918,1.0,8065.473511815071,0.0,361.17440462112427,4.384863975923508,14.744486659765244,260.2824286222458,0.0,,,,,,0,,4096,0
0,1,32769,full,0.00543414568528533,1.0,8065.473511815071,0.0,361.2009435892105,4.3858559764921665,16.585160046815872,260.5742689073086,0.0,,,,,,0,,4096,0
0,2,32770,full,3.944615125656128,1.0,8065.473511815071,0.0,362.08685114979744,4.587935956194997,14.56964761018753,260.69106954336166,0.0,,,,,,0,,4096,0
0,3,32771,full,1.769931435585022,1.0,8065.473511815071,0.0,363.0764149129391,4.566239953506738,14.536086469888687,261.15791669487953,0.0,,,,,,0,,4096,0
0,4,32772,full,0.2031051218509674,1.0,8065.473511815071,0.0,362.6288212835789,4.657311950344592,14.527428895235062,261.52146911621094,0.0,,,,,,0,,4096,0
0,5,32773,full,7.061924934387207,1.0,8065.473511815071,0.0,362.44605109095573,4.537695954553783,14.52849805355072,260.62655678391457,0.0,,,,,,0,,4096,0
0,6,32774,full,3.0192906856536865,1.0,8065.473511815071,0.0,361.7115393280983,4.569375955499709,14.540515840053558,260.4954532980919,0.0,,,,,,0,,4096,0
0,7,32775,full,6.672183990478516,1.0,8065.473511815071,0.0,362.3768575489521,4.608447945211083,14.621015638113022,261.47238180041313,0.0,,,,,,0,,4096,0
0,8,32776,full,0.30478930473327637,1.0,8065.473511815071,0.0,362.4758794903755,4.642015953082591,14.528997242450714,261.5041250884533,0.0,,,,,,0,,4096,0
0,9,32777,full,0.6683253049850464,1.0,8065.473511815071,0.0,362.3863123357296,4.589823952876031,14.539077877998352,259.8308451473713,0.0,,,,,,0,,4096,0
0,10,32778,full,0.2082466185092926,1.0,8065.473511815071,0.0,362.7050928771496,4.608319954015315,14.535646885633469,260.60092452168465,0.0,,,,,,0,,4096,0
0,11,32779,full,1.3392713069915771,1.0,8065.473511815071,0.0,362.3499907553196,4.622623949311674,14.50839638710022,261.6299822628498,0.0,,,,,,0,,4096,0
0,12,32780,full,0.3072412610054016,1.0,8065.473511815071,0.0,362.6597598195076,4.798591950908303,14.551103115081787,261.9352943301201,0.0,,,,,,0,,4096,0
0,13,32781,full,2.929044008255005,1.0,8065.473511815071,0.0,361.01244390010834,4.795647960156202,14.52239602804184,259.81961363554,0.0,,,,,,0,,4096,0
0,14,32782,full,0.0014019908849149942,1.0,8065.473511815071,0.0,361.18023097515106,4.698367937933654,14.516551047563553,260.3551012277603,0.0,,,,,,0,,4096,0
0,15,32783,full,3.1714258193969727,1.0,8065.473511815071,0.0,362.375658005476,4.633791950531304,14.522220939397812,261.6812129318714,0.0,,,,,,0,,4096,0
0,16,32784,full,3.406306028366089,1.0,8065.473511815071,0.0,362.2658886015415,4.715711938217282,14.513365924358368,260.6839008927345,0.0,,,,,,0,,4096,0
0,17,32785,full,0.7248373031616211,1.0,8065.473511815071,0.0,478.78167405724525,5.09075191617012,14.689631760120392,260.0213404893875,0.0,,,,,,0,,4096,0
0,18,32786,full,0.22371025383472443,1.0,8065.473511815071,0.0,361.3770939409733,4.679807943291962,14.517586678266525,260.25996512174606,0.0,,,,,,0,,4096,0
0,19,32787,full,4.857872486114502,1.0,8065.473511815071,0.0,361.2118624150753,4.326335980091244,14.628536999225616,260.95001497864723,0.0,,,,,,0,,4096,0
0,20,32788,full,2.0872504711151123,1.0,8065.473511815071,0.0,362.01345175504684,4.33251197822392,14.54981416463852,261.7088643014431,0.0,,,,,,0,,4096,0
0,21,32789,full,0.687964141368866,1.0,8065.473511815071,0.0,361.60389706492424,4.439199968706816,14.52580839395523,260.84569361805916,0.0,,,,,,0,,4096,0
0,22,32790,full,1.7057597637176514,1.0,8065.473511815071,0.0,360.49849539995193,4.3317119758576155,14.512106776237488,260.25983756780624,0.0,,,,,,0,,4096,0
0,23,32791,full,2.6870152950286865,1.0,8065.473511815071,0.0,361.65008321404457,4.332799978554249,14.51868936419487,261.6915492117405,0.0,,,,,,0,,4096,0
0,24,32792,full,0.36341777443885803,1.0,8065.473511815071,0.0,360.82664504647255,4.34182397974655,14.518335461616516,260.31849202513695,0.0,,,,,,0,,4096,0
0,25,32793,full,1.0085622072219849,1.0,8065.473511815071,0.0,360.9202727675438,4.348991983104497,14.508139342069626,260.1534703671932,0.0,,,,,,0,,4096,0
0,26,32794,full,0.9473350644111633,1.0,8065.473511815071,0.0,360.36865413188934,4.309215979184955,14.524627476930618,260.2774384319782,0.0,,,,,,0,,4096,0
0,27,32795,full,0.535269021987915,1.0,8065.473511815071,0.0,360.9318770468235,4.282623981591314,14.53302800655365,260.45673245191574,0.0,,,,,,0,,4096,0
0,28,32796,full,1.1846050024032593,1.0,8065.473511815071,0.0,360.7459142804146,4.320511978119612,14.691334217786789,260.20985329151154,0.0,,,,,,0,,4096,0
0,29,32797,full,0.6958791613578796,1.0,8065.473511815071,0.0,360.15046015381813,4.290591980796307,14.52852413058281,259.6987515389919,0.0,,,,,,0,,4096,0
0,30,32798,full,3.186380386352539,1.0,8065.473511815071,0.0,359.79530215263367,4.328671977389604,14.53067734837532,259.2831045985222,0.0,,,,,,0,,4096,0
0,31,32799,full,11.281769752502441,1.0,8065.473511815071,0.0,361.193161457777,4.399231981951743,14.523837715387344,260.6134048104286,0.0,,,,,,0,,4096,0
0,32,32800,full,0.0908079519867897,1.0,8065.473511815071,0.0,361.0667325556278,4.567359973210841,14.497615396976471,260.5231654047966,0.0,,,,,,0,,4096,0
0,33,32801,full,3.883958339691162,1.0,8065.473511815071,0.0,362.1850535273552,4.461631963960826,14.565501362085342,260.2630068063736,0.0,,,,,,0,,4096,0
0,34,32802,full,3.0820865631103516,1.0,8065.473511815071,0.0,360.25717481970787,4.466719960793853,14.554455876350403,259.52374145388603,0.0,,,,,,0,,4096,0
0,35,32803,full,5.591645240783691,1.0,8065.473511815071,0.0,360.8120046555996,4.900863921735436,14.507528394460678,259.4693080484867,0.0,,,,,,0,,4096,0
0,36,32804,full,0.3203258514404297,1.0,8065.473511815071,0.0,360.34850776195526,4.822079932782799,14.522373676300049,259.6526372432709,0.0,,,,,,0,,4096,0
0,37,32805,full,2.1511497497558594,1.0,8065.473511815071,0.0,361.5660034120083,4.749567937105894,14.516115188598633,260.8364449739456,0.0,,,,,,0,,4096,0
0,38,32806,full,8.451581379631534e-05,1.0,8065.473511815071,0.0,363.0892038345337,4.868319957051426,14.568328857421875,260.70044535398483,0.0,,,,,,0,,4096,0
0,39,32807,full,0.0012837749673053622,1.0,8065.473511815071,0.0,361.475832760334,4.6717439433559775,14.542970806360245,260.89170876145363,0.0,,,,,,0,,4096,0
