context,method,raw_method,num_tokens,mean_nll,perplexity,search_ms_per_token,decode_ms_per_token,topk_recall_vs_full,attention_mass_recall,prepack_ms,cache_update_ms_per_token
16k,full,full,128,1.7159722206256731,5.562080453876786,29.040312784607522,319.59850870771334,,,0.0,7.4937390454579145
16k,quest,quest_b4096,128,1.8203210845657054,6.173840456552377,580.5513036799766,879.4347035291139,,,0.0,7.488922448828816
16k,fier,fier_triton_g32_b4096,128,1.7209508646823224,5.589841120568494,33.443497338781526,608.4128623479046,0.7167536616325378,0.9871905055042589,0.0,7.480258616851643
16k,cuda_popc,bit2_qk_cuda_popc_g32_b4096,128,1.7227466741994135,5.599888429277981,4.965801918389843,643.0667056702077,0.5019461512565613,0.9686808494752768,405.68481758236885,7.6728290296159685
16k,qk_2mean,bit2_qk_2mean_g32_b4096,128,1.7258509600825107,5.617299093734234,5.414677066832155,648.4657886030618,0.5912061929702759,0.9784592322394019,416.2941724061966,7.794499193551019
