context,method,raw_method,num_tokens,mean_nll,perplexity,search_ms_per_token,decode_ms_per_token,topk_recall_vs_full,attention_mass_recall,prepack_ms,cache_update_ms_per_token
32k,full,full,128,1.9137229921072958,6.77827735413075,4.610836454987293,366.6514583164826,,,0.0,14.58967462531291
32k,quest,quest_b4096,128,2.0023620233694146,7.406529850695187,578.1873574117035,894.7883367654867,,,0.0,14.603077783249319
32k,fier,fier_triton_g32_b4096,128,1.9002264764167762,6.687408811173449,62.33493619037472,661.9888320274185,0.6558705568313599,0.9827040593227139,0.0,14.595969551010057
32k,cuda_popc,bit2_qk_cuda_popc_g32_b4096,128,2.0155620300888586,7.504944200558201,4.900197570172168,662.4224005208816,0.3532251715660095,0.9323227288507496,425.70868507027626,14.77719919057563
32k,qk_2mean,bit2_qk_2mean_g32_b4096,128,1.9119281233398624,6.766122147574345,5.888441204568153,671.9817972334567,0.44690072536468506,0.9665813141473336,410.1908206939697,14.88469389732927
