block_idx,step,context_tokens,method,nll,candidate_ratio,prefix_ms_shared,prepack_ms,decode_ms,candidate_search_ms,cache_update_ms,selected_attention_ms,candidate_search_ops_proxy,topk_recall,budget,group_size
0,0,32768,fier_triton_g32_b4096,6.739940643310547,0.125,7996.817696839571,0.0,640.7285928726196,62.29606244247407,14.722287654876709,153.0127343684435,24536678400.0,,4096,32
0,1,32769,fier_triton_g32_b4096,0.0062498836778104305,0.12499618541914614,7996.817696839571,0.0,636.8711367249489,64.61151892179623,16.546085476875305,151.52563074231148,24537427200.0,,4096,32
0,2,32770,fier_triton_g32_b4096,3.966158390045166,0.12499237107110162,7996.817696839571,0.0,644.4100812077522,62.029822076670825,14.7305428981781,155.32047925889492,24538176000.0,,4096,32
0,3,32771,fier_triton_g32_b4096,1.802793264389038,0.12498855695584511,7996.817696839571,0.0,629.1625015437603,62.14665373414755,14.635100960731506,150.1574384123087,24538924800.0,,4096,32
0,4,32772,fier_triton_g32_b4096,0.197041854262352,0.1249847430733553,7996.817696839571,0.0,630.2519589662552,61.67664161045104,14.515090733766556,150.80006231367588,24539673600.0,,4096,32
0,5,32773,fier_triton_g32_b4096,7.036931037902832,0.1249809294236109,7996.817696839571,0.0,652.1246507763863,62.141501913778484,14.499060809612274,157.47859045863152,24540422400.0,,4096,32
0,6,32774,fier_triton_g32_b4096,3.004693031311035,0.12497711600659059,7996.817696839571,0.0,643.0454663932323,61.93884556274861,14.501422643661499,154.86988762021065,24541171200.0,,4096,32
0,7,32775,fier_triton_g32_b4096,6.654670715332031,0.12497330282227308,7996.817696839571,0.0,643.0471129715443,61.98783814487979,14.511212706565857,155.56431920826435,24541920000.0,,4096,32
0,8,32776,fier_triton_g32_b4096,0.3344365954399109,0.12496948987063705,7996.817696839571,0.0,664.095051586628,61.68473674659617,14.514710754156113,161.80246332287788,24542668800.0,,4096,32
0,9,32777,fier_triton_g32_b4096,0.6469531059265137,0.12496567715166122,7996.817696839571,0.0,635.519091039896,62.048413809388876,14.536544680595398,152.55814293026924,24543417600.0,,4096,32
0,10,32778,fier_triton_g32_b4096,0.23847796022891998,0.1249618646653243,7996.817696839571,0.0,648.8912105560303,61.93932592216879,14.731071889400482,156.2711671218276,24544166400.0,,4096,32
0,11,32779,fier_triton_g32_b4096,1.3526206016540527,0.12495805241160499,7996.817696839571,0.0,637.732233852148,62.369789991062135,14.522526413202286,152.08444640040398,24544915200.0,,4096,32
0,12,32780,fier_triton_g32_b4096,0.3490214943885803,0.124954240390482,7996.817696839571,0.0,642.5637491047382,61.63382543763146,14.537326991558075,154.8125749975443,24545664000.0,,4096,32
0,13,32781,fier_triton_g32_b4096,2.9046835899353027,0.12495042860193405,7996.817696839571,0.0,652.2383317351341,62.05286193266511,14.508780092000961,157.55315099656582,24546412800.0,,4096,32
0,14,32782,fier_triton_g32_b4096,0.0017321596387773752,0.12494661704593985,7996.817696839571,0.0,639.2365954816341,61.861120615620166,14.51931893825531,152.68108709156513,24547161600.0,,4096,32
0,15,32783,fier_triton_g32_b4096,3.1302175521850586,0.12494280572247811,7996.817696839571,0.0,645.6639766693115,62.26898989570327,14.514151960611343,155.95670318603516,24547910400.0,,4096,32
0,16,32784,fier_triton_g32_b4096,3.442610502243042,0.12493899463152758,7996.817696839571,0.0,682.6816573739052,66.05942507274449,14.534879475831985,166.1826237589121,24548659200.0,,4096,32
0,17,32785,fier_triton_g32_b4096,0.6603521108627319,0.12493518377306695,7996.817696839571,0.0,664.1677431762218,62.367774242768064,14.529317617416382,161.21305586397648,24549408000.0,,4096,32
0,18,32786,fier_triton_g32_b4096,0.2639200687408447,0.12493137314707498,7996.817696839571,0.0,649.5559513568878,62.12905356287956,14.508731663227081,158.07129564881325,24550156800.0,,4096,32
0,19,32787,fier_triton_g32_b4096,4.932966232299805,0.12492756275353037,7996.817696839571,0.0,647.3729349672794,62.04617389291525,14.496460556983948,155.6414711624384,24550905600.0,,4096,32
0,20,32788,fier_triton_g32_b4096,2.1007466316223145,0.12492375259241185,7996.817696839571,0.0,641.0168744623661,61.588833501329646,14.513738453388214,155.72707125544548,24551654400.0,,4096,32
0,21,32789,fier_triton_g32_b4096,0.753821611404419,0.12491994266369819,7996.817696839571,0.0,651.4594852924347,62.16294169053435,14.517899602651596,156.9120954722166,24552403200.0,,4096,32
0,22,32790,fier_triton_g32_b4096,1.948620319366455,0.1249161329673681,7996.817696839571,0.0,640.8426500856876,61.98690992454067,14.623872935771942,154.31135994195938,24553152000.0,,4096,32
0,23,32791,fier_triton_g32_b4096,2.5448625087738037,0.12491232350340033,7996.817696839571,0.0,633.5582844913006,62.01401436794549,14.506801962852478,152.151998847723,24553900800.0,,4096,32
0,24,32792,fier_triton_g32_b4096,0.8870803117752075,0.1249085142717736,7996.817696839571,0.0,649.5526432991028,61.74329715035856,14.529619365930557,157.47455950081348,24554649600.0,,4096,32
0,25,32793,fier_triton_g32_b4096,0.970177412033081,0.12490470527246668,7996.817696839571,0.0,631.5653212368488,62.03196597425267,14.508038759231567,150.37119878828526,24555398400.0,,4096,32
0,26,32794,fier_triton_g32_b4096,1.041359305381775,0.12490089650545831,7996.817696839571,0.0,628.1422413885593,62.0147195472382,14.498651027679443,149.95107056200504,24556147200.0,,4096,32
0,27,32795,fier_triton_g32_b4096,0.5445975661277771,0.12489708797072724,7996.817696839571,0.0,648.2968553900719,62.21763009997085,14.534909278154373,156.14540696144104,24556896000.0,,4096,32
0,28,32796,fier_triton_g32_b4096,1.0725791454315186,0.12489327966825223,7996.817696839571,0.0,628.5372637212276,61.621441637631506,14.526553452014923,150.07740637660027,24557644800.0,,4096,32
0,29,32797,fier_triton_g32_b4096,0.6564974188804626,0.12488947159801202,7996.817696839571,0.0,639.9519853293896,61.97574182646349,14.530554413795471,153.673439219594,24558393600.0,,4096,32
0,30,32798,fier_triton_g32_b4096,3.308544158935547,0.12488566375998536,7996.817696839571,0.0,646.97640016675,61.95711829839274,14.523103833198547,156.15011155605316,24559142400.0,,4096,32
0,31,32799,fier_triton_g32_b4096,11.220121383666992,0.12488185615415104,7996.817696839571,0.0,640.3563804924488,62.24486316507682,14.519855380058289,153.1006388515234,24559891200.0,,4096,32
0,32,32800,fier_triton_g32_b4096,0.11777646839618683,0.1248780487804878,7996.817696839571,0.0,639.3182873725891,62.15279883146286,14.521528035402298,153.51097543537617,24560640000.0,,4096,32
0,33,32801,fier_triton_g32_b4096,3.7099435329437256,0.12487424163897443,7996.817696839571,0.0,641.5109671652317,62.87785556539893,14.543939381837845,153.96607899665833,24561388800.0,,4096,32
0,34,32802,fier_triton_g32_b4096,3.23350191116333,0.12487043472958965,7996.817696839571,0.0,641.3659378886223,62.06786990398541,14.515411108732224,154.31164707243443,24562137600.0,,4096,32
0,35,32803,fier_triton_g32_b4096,5.3372883796691895,0.12486662805231229,7996.817696839571,0.0,648.7616039812565,62.38531036162749,14.554820954799652,155.4368630796671,24562886400.0,,4096,32
0,36,32804,fier_triton_g32_b4096,0.3230234980583191,0.12486282160712109,7996.817696839571,0.0,639.4614540040493,61.664257682394236,14.596141874790192,154.75180695950985,24563635200.0,,4096,32
0,37,32805,fier_triton_g32_b4096,1.8638297319412231,0.12485901539399481,7996.817696839571,0.0,636.8405446410179,62.1158382948488,14.680124819278717,153.1414711177349,24564384000.0,,4096,32
0,38,32806,fier_triton_g32_b4096,0.00014256415306590497,0.12485520941291227,7996.817696839571,0.0,648.9554941654205,62.26950173312798,14.53455165028572,157.09939110279083,24565132800.0,,4096,32
0,39,32807,fier_triton_g32_b4096,0.0018894692184403539,0.12485140366385222,7996.817696839571,0.0,633.781835436821,62.068765978328884,14.880191534757614,151.49846276640892,24565881600.0,,4096,32
0,40,32808,fier_triton_g32_b4096,6.628888130187988,0.12484759814679347,7996.817696839571,0.0,651.5838950872421,61.7450892245397,14.53201100230217,158.40591950714588,24566630400.0,,4096,32
0,41,32809,fier_triton_g32_b4096,3.635817120084539e-05,0.12484379286171478,7996.817696839571,0.0,668.2191602885723,62.31865476211533,14.542821794748306,163.48495960235596,24567379200.0,,4096,32
0,42,32810,fier_triton_g32_b4096,1.4044842720031738,0.12483998780859494,7996.817696839571,0.0,655.1617756485939,62.07897411007434,14.560140669345856,159.59119914472103,24568128000.0,,4096,32
0,43,32811,fier_triton_g32_b4096,0.035441603511571884,0.12483618298741275,7996.817696839571,0.0,647.2470797598362,62.17859037872404,14.52523097395897,156.41260735690594,24568876800.0,,4096,32
0,44,32812,fier_triton_g32_b4096,0.003476411337032914,0.12483237839814702,7996.817696839571,0.0,666.3919948041439,62.00422533927485,14.544051140546799,163.20940731465816,24569625600.0,,4096,32
0,45,32813,fier_triton_g32_b4096,1.3485627174377441,0.12482857404077652,7996.817696839571,0.0,642.2972455620766,62.09763043769635,14.598093926906586,154.12179166078568,24570374400.0,,4096,32
0,46,32814,fier_triton_g32_b4096,1.2588506937026978,0.12482476991528006,7996.817696839571,0.0,646.5283334255219,62.064669711049646,14.746598899364471,155.7788795977831,24571123200.0,,4096,32
0,47,32815,fier_triton_g32_b4096,4.435145854949951,0.12482096602163645,7996.817696839571,0.0,639.269258826971,62.115934238769114,14.532949775457382,153.21462334692478,24571872000.0,,4096,32
0,48,32816,fier_triton_g32_b4096,0.36664247512817383,0.12481716235982447,7996.817696839571,0.0,642.9786421358585,61.75238563865423,14.647893607616425,155.50703901052475,24572620800.0,,4096,32
0,49,32817,fier_triton_g32_b4096,0.011844426393508911,0.12481335892982295,7996.817696839571,0.0,647.6631797850132,62.382112111430615,14.661379158496857,156.5970544964075,24573369600.0,,4096,32
0,50,32818,fier_triton_g32_b4096,5.946460723876953,0.1248095557316107,7996.817696839571,0.0,632.8870169818401,62.321663710754365,14.52995091676712,151.70457477867603,24574118400.0,,4096,32
