method,num_tokens,mean_nll,perplexity,mean_candidate_ratio,mean_prepack_ms,mean_decode_ms_per_token,mean_candidate_search_ms_per_token,mean_cache_update_ms_per_token,mean_selected_attention_ms_per_token,mean_candidate_search_ops_proxy,mean_topk_recall
bit2_qk_g32_b16,1,0.001806176733225584,1.0018078088529057,0.25,86.17787808179855,2643.466543406248,1955.731553843245,101.59526020288467,161.75673581659794,13332480.0,0.5956380208333333
fier_g32_b16,1,0.0020601970609277487,1.0020623207250312,0.25,46.649252995848656,1288.1199140101671,588.133597895503,36.74246370792389,166.36310416460037,15974400.0,0.7455729166666667
full,1,0.0025058556348085403,1.002508997915192,1.0,0.0,341.65946394205093,28.837311949580908,3.5528261214494705,170.97606422007084,0.0,
