method,contexts,total_tokens,pooled_mean_nll,pooled_perplexity,mean_search_ms_per_token,mean_decode_ms_per_token,mean_topk_recall_vs_full,mean_attention_mass_recall
full,3,384,2.122355534057457,8.35078489676337,12.897799134539431,448.42223851204227,,
quest,3,384,2.2185058683354413,9.193584173531006,627.1711298755157,961.8781908454063,,
fier,3,384,2.120953136587199,8.339081985134339,90.99031406503916,705.622026269945,0.6607577602068583,0.9817224239177449
cuda_popc,3,384,2.321756955955967,10.193568232468595,6.19684433373853,681.8902141919049,0.37927589813868207,0.9416645888014349
qk_2mean,3,384,2.132349678103452,8.434662287120767,7.297742999258237,690.9362079556255,0.49052560329437256,0.9693248864302101
