method,num_tokens,mean_nll,perplexity,mean_candidate_ratio,mean_prepack_ms,mean_decode_ms_per_token,mean_candidate_search_ms_per_token,mean_cache_update_ms_per_token,mean_selected_attention_ms_per_token,mean_candidate_search_ops_proxy,mean_topk_recall,mean_attention_mass_recall,mean_score_mae,mean_score_normalized_mae,mean_spearman_correlation,metadata_bytes_per_token,packed_k_bytes_per_token
bit2_qk_2mean_g32_b4096,64,2.009579905623241,7.460182708137863,0.12487999205070213,13.638604432344437,635.1118740276434,5.945253473077173,14.969114912673831,156.79051829664968,6707579040.0,,,,,,16,48
bit2_qk_2mean_g32_b8192,64,2.026855817906835,7.590183881357052,0.24975998410140426,13.322383165359497,670.9588639205322,5.966931980787194,16.204254876356572,156.8770332703134,6739066560.0,,,,,,16,48
bit2_qk_cuda_popc_g32_b4096,64,2.1053460931730115,8.209943923499727,0.12487999205070213,545.4583987593651,633.1882366794161,4.9550755862219376,14.81325743952766,155.24764450313523,6707579040.0,,,,,,0,32
bit2_qk_cuda_popc_g32_b8192,64,2.0395979496863674,7.687517808527436,0.24975998410140426,5.148947238922119,666.6090646758676,4.994054072456493,14.796431525610387,156.07756957097445,6739066560.0,,,,,,0,32
fier_triton_g32_b4096,64,2.021624707533306,7.550582461722916,0.12487999205070213,0.0,643.0231734993868,62.07038977082266,14.607322460506111,154.10542963887565,24560265600.0,,,,,,0,
fier_triton_g32_b8192,64,2.0229637514979117,7.5606997958634246,0.24975998410140426,0.0,676.7278506886214,62.29568979229225,14.609022065997124,154.36639827291947,24591753120.0,,,,,,0,
