block_idx,step,context_tokens,method,nll,candidate_ratio,prefix_ms_shared,prepack_ms,decode_ms,candidate_search_ms,cache_update_ms,selected_attention_ms,candidate_search_ops_proxy,topk_recall,attention_mass_recall,score_mae,score_normalized_mae,spearman_correlation,metadata_bytes_per_token,packed_k_bytes_per_token,budget,group_size
0,0,32768,fier_triton_g32_b4096,6.739940643310547,0.125,8039.606478065252,0.0,627.9282160103321,62.11177407996729,14.820035547018051,148.20275004208088,24536678400.0,,,,,,0,,4096,32
0,1,32769,fier_triton_g32_b4096,0.0062498836778104305,0.12499618541914614,8039.606478065252,0.0,628.6684721708298,64.06348591996357,18.084723502397537,148.8811180740595,24537427200.0,,,,,,0,,4096,32
0,2,32770,fier_triton_g32_b4096,3.966158390045166,0.12499237107110162,8039.606478065252,0.0,647.274773567915,61.914208439644426,14.531105756759644,155.73740695416927,24538176000.0,,,,,,0,,4096,32
0,3,32771,fier_triton_g32_b4096,1.802793264389038,0.12498855695584511,8039.606478065252,0.0,636.1139565706253,62.00937513355166,14.624141156673431,152.25526222586632,24538924800.0,,,,,,0,,4096,32
0,4,32772,fier_triton_g32_b4096,0.197041854262352,0.1249847430733553,8039.606478065252,0.0,625.6167106330395,61.469728792784736,14.537058770656586,148.78566217422485,24539673600.0,,,,,,0,,4096,32
0,5,32773,fier_triton_g32_b4096,7.036931037902832,0.1249809294236109,8039.606478065252,0.0,636.6051137447357,61.96124560199678,14.51275497674942,150.53891077637672,24540422400.0,,,,,,0,,4096,32
0,6,32774,fier_triton_g32_b4096,3.004693031311035,0.12497711600659059,8039.606478065252,0.0,623.3027502894402,61.95004711905494,14.505062252283096,147.26233376562595,24541171200.0,,,,,,0,,4096,32
0,7,32775,fier_triton_g32_b4096,6.654670715332031,0.12497330282227308,8039.606478065252,0.0,628.0219405889511,61.94380655512214,14.49136808514595,148.89199827611446,24541920000.0,,,,,,0,,4096,32
0,8,32776,fier_triton_g32_b4096,0.3344365954399109,0.12496948987063705,8039.606478065252,0.0,641.0441063344479,61.3541119126603,14.52556625008583,153.7908142656088,24542668800.0,,,,,,0,,4096,32
0,9,32777,fier_triton_g32_b4096,0.6469531059265137,0.12496567715166122,8039.606478065252,0.0,643.3733254671097,62.10889447689988,14.566168189048767,152.67091040313244,24543417600.0,,,,,,0,,4096,32
0,10,32778,fier_triton_g32_b4096,0.23847796022891998,0.1249618646653243,8039.606478065252,0.0,636.0010206699371,61.8465600728523,14.50846716761589,151.26655907928944,24544166400.0,,,,,,0,,4096,32
0,11,32779,fier_triton_g32_b4096,1.3526206016540527,0.12495805241160499,8039.606478065252,0.0,651.58911049366,61.97043010639027,14.518387615680695,156.8941754102707,24544915200.0,,,,,,0,,4096,32
0,12,32780,fier_triton_g32_b4096,0.3490214943885803,0.124954240390482,8039.606478065252,0.0,641.3616575300694,61.47203279379755,14.530353248119354,154.04796716570854,24545664000.0,,,,,,0,,4096,32
